Attacking Type,Defending Type,Damage Modifier
Normal,Normal,1
Normal,Fighting,1
Normal,Flying,1
Normal,Poison,1
Normal,Ground,1
Normal,Rock,0.5
Normal,Bug,1
Normal,Ghost,0
Normal,Fire,1
Normal,Water,1
Normal,Grass,1
Normal,Electric,1
Normal,Psychic,1
Normal,Ice,1
Normal,Dragon,1
Fighting,Normal,2
Fighting,Fighting,1
Fighting,Flying,0.5
Fighting,Poison,0.5
Fighting,Ground,1
Fighting,Rock,2
Fighting,Bug,0.5
Fighting,Ghost,0
Fighting,Fire,1
Fighting,Water,1
Fighting,Grass,1
Fighting,Electric,1
Fighting,Psychic,0.5
Fighting,Ice,2
Fighting,Dragon,1
Flying,Normal,1
Flying,Fighting,2
Flying,Flying,1
Flying,Poison,1
Flying,Ground,1
Flying,Rock,0.5
Flying,Bug,2
Flying,Ghost,1
Flying,Fire,1
Flying,Water,1
Flying,Grass,2
Flying,Electric,0.5
Flying,Psychic,1
Flying,Ice,1
Flying,Dragon,1
Poison,Normal,1
Poison,Fighting,1
Poison,Flying,1
Poison,Poison,0.5
Poison,Ground,0.5
Poison,Rock,0.5
Poison,Bug,2
Poison,Ghost,0.5
Poison,Fire,1
Poison,Water,1
Poison,Grass,2
Poison,Electric,1
Poison,Psychic,1
Poison,Ice,1
Poison,Dragon,1
Ground,Normal,1
Ground,Fighting,1
Ground,Flying,0
Ground,Poison,2
Ground,Ground,1
Ground,Rock,2
Ground,Bug,0.5
Ground,Ghost,1
Ground,Fire,2
Ground,Water,1
Ground,Grass,0.5
Ground,Electric,2
Ground,Psychic,1
Ground,Ice,1
Ground,Dragon,1
Rock,Normal,1
Rock,Fighting,0.5
Rock,Flying,2
Rock,Poison,1
Rock,Ground,0.5
Rock,Rock,1
Rock,Bug,2
Rock,Ghost,1
Rock,Fire,2
Rock,Water,1
Rock,Grass,1
Rock,Electric,1
Rock,Psychic,1
Rock,Ice,2
Rock,Dragon,1
Bug,Normal,1
Bug,Fighting,0.5
Bug,Flying,0.5
Bug,Poison,1
Bug,Ground,1
Bug,Rock,1
Bug,Bug,1
Bug,Ghost,0.5
Bug,Fire,0.5
Bug,Water,1
Bug,Grass,2
Bug,Electric,1
Bug,Psychic,2
Bug,Ice,1
Bug,Dragon,1
Ghost,Normal,0
Ghost,Fighting,1
Ghost,Flying,1
Ghost,Poison,1
Ghost,Ground,1
Ghost,Rock,1
Ghost,Bug,1
Ghost,Ghost,2
Ghost,Fire,1
Ghost,Water,1
Ghost,Grass,1
Ghost,Electric,1
Ghost,Psychic,2
Ghost,Ice,1
Ghost,Dragon,1
Fire,Normal,1
Fire,Fighting,1
Fire,Flying,1
Fire,Poison,1
Fire,Ground,1
Fire,Rock,0.5
Fire,Bug,2
Fire,Ghost,1
Fire,Fire,0.5
Fire,Water,0.5
Fire,Grass,2
Fire,Electric,1
Fire,Psychic,1
Fire,Ice,2
Fire,Dragon,0.5
Water,Normal,1
Water,Fighting,1
Water,Flying,1
Water,Poison,1
Water,Ground,2
Water,Rock,2
Water,Bug,1
Water,Ghost,1
Water,Fire,2
Water,Water,0.5
Water,Grass,0.5
Water,Electric,1
Water,Psychic,1
Water,Ice,1
Water,Dragon,0.5
Grass,Normal,1
Grass,Fighting,1
Grass,Flying,0.5
Grass,Poison,0.5
Grass,Ground,2
Grass,Rock,2
Grass,Bug,0.5
Grass,Ghost,1
Grass,Fire,0.5
Grass,Water,2
Grass,Grass,0.5
Grass,Electric,1
Grass,Psychic,1
Grass,Ice,1
Grass,Dragon,0.5
Electric,Normal,1
Electric,Fighting,1
Electric,Flying,2
Electric,Poison,1
Electric,Ground,0
Electric,Rock,1
Electric,Bug,1
Electric,Ghost,1
Electric,Fire,1
Electric,Water,2
Electric,Grass,0.5
Electric,Electric,0.5
Electric,Psychic,1
Electric,Ice,1
Electric,Dragon,0.5
Psychic,Normal,1
Psychic,Fighting,2
Psychic,Flying,1
Psychic,Poison,2
Psychic,Ground,1
Psychic,Rock,1
Psychic,Bug,1
Psychic,Ghost,1
Psychic,Fire,1
Psychic,Water,1
Psychic,Grass,1
Psychic,Electric,1
Psychic,Psychic,0.5
Psychic,Ice,1
Psychic,Dragon,1
Ice,Normal,1
Ice,Fighting,1
Ice,Flying,2
Ice,Poison,1
Ice,Ground,2
Ice,Rock,1
Ice,Bug,1
Ice,Ghost,1
Ice,Fire,1
Ice,Water,0.5
Ice,Grass,2
Ice,Electric,1
Ice,Psychic,1
Ice,Ice,0.5
Ice,Dragon,2
Dragon,Normal,1
Dragon,Fighting,1
Dragon,Flying,1
Dragon,Poison,1
Dragon,Ground,1
Dragon,Rock,1
Dragon,Bug,1
Dragon,Ghost,1
Dragon,Fire,1
Dragon,Water,1
Dragon,Grass,1
Dragon,Electric,1
Dragon,Psychic,1
Dragon,Ice,1
Dragon,Dragon,2
